condition,block_A,block_B,yield
0,0,0,10.86405098251627
0,0,1,22.42838833812599
0,0,2,29.63320150529926
0,0,3,3.44540310765029
0,0,4,21.58141777314711
0,0,5,35.85998184382533
0,0,6,19.755326573371278
0,0,7,51.677569354629625
0,0,8,34.28185980812863
0,0,9,26.62726906669472
0,1,0,24.5004921209255
0,1,1,24.21982797825113
0,1,2,38.406521878957065
0,1,3,31.10375189093148
0,1,4,47.9129864483428
0,1,5,36.87000772830683
0,1,6,36.08623351863068
0,1,7,26.155237538237518
0,1,8,39.74871609054748
0,1,9,46.41312040745176
0,2,0,17.725533043725438
0,2,1,26.89347416684021
0,2,2,19.96763167881982
0,2,3,33.26545845649015
0,2,4,35.77999586580456
0,2,5,53.20199317570611
0,2,6,50.15641899140865
0,2,7,45.178133918656286
0,2,8,40.61811035240837
0,2,9,38.81811439646657
0,3,0,28.18428364345139
0,3,1,19.748824612994838
0,3,2,38.84360586244444
0,3,3,35.73390652023206
0,3,4,35.56970773233849
0,3,5,52.69300920896204
0,3,6,44.77378466116811
0,3,7,58.22668634240908
0,3,8,44.470839921653535
0,3,9,41.90922404664556
0,4,0,19.331472328274348
0,4,1,54.854671969075305
0,4,2,31.274812653143293
0,4,3,46.527209624931295
0,4,4,46.51004940027539
0,4,5,47.14107496508283
0,4,6,50.072526752855175
0,4,7,35.18210107448991
0,4,8,39.8823164844314
0,4,9,43.92671919731568
0,5,0,41.326366221532304
0,5,1,58.41572186997276
0,5,2,20.62860701322467
0,5,3,36.39214042212403
0,5,4,57.28107411038077
0,5,5,39.57362443414359
0,5,6,33.39453670581548
0,5,7,24.82042803230111
0,5,8,49.82513666692627
0,5,9,57.34717090376289
0,6,0,35.03818277026732
0,6,1,50.0256115175469
0,6,2,48.18208388890289
0,6,3,55.122548225208604
0,6,4,30.82622358434331
0,6,5,60.52535439007707
0,6,6,47.30852400669498
0,6,7,52.763845253873875
0,6,8,58.38959224758682
0,6,9,39.31704145334305
0,7,0,35.2235093528438
0,7,1,43.46715396227342
0,7,2,38.08479256446345
0,7,3,59.08520214742844
0,7,4,41.39200301046536
0,7,5,63.02718360659787
0,7,6,43.621572406865
0,7,7,32.57467446105575
0,7,8,57.67897164117623
0,7,9,38.992069633770434
0,8,0,36.621337039383874
0,8,1,43.18013074660832
0,8,2,50.62675083515605
0,8,3,50.93497194411063
0,8,4,48.98804360667114
0,8,5,52.89688905802622
0,8,6,51.37547548412245
0,8,7,45.20609816942705
0,8,8,34.46151545742847
0,8,9,41.45758452304641
0,9,0,34.875674645365514
0,9,1,53.622218830441795
0,9,2,22.534447538201622
0,9,3,47.20638915963088
0,9,4,24.29976867469345
0,9,5,47.0664436574062
0,9,6,48.840765516283305
0,9,7,50.506326628027786
0,9,8,42.60885817560912
0,9,9,46.68648511616879
0,10,0,32.66418400227122
0,10,1,29.41239865662127
0,10,2,48.858929842810014
0,10,3,44.618379000032135
0,10,4,50.36435070560656
0,10,5,39.51825445387135
0,10,6,47.11282887337876
0,10,7,50.63954093905606
0,10,8,46.28844266856625
0,10,9,28.39972096140485
0,11,0,25.467168805967837
0,11,1,38.88636249151652
0,11,2,45.28850632872752
0,11,3,42.34578436632224
0,11,4,50.65594150690066
0,11,5,41.21422306384782
0,11,6,41.40368650412637
0,11,7,69.78154532472716
0,11,8,50.16489386484844
0,11,9,50.42202075849691
0,12,0,39.03273495054168
0,12,1,61.446944725430264
0,12,2,56.60937271005615
0,12,3,36.04088391359175
0,12,4,55.50293981186879
0,12,5,45.45302597257574
0,12,6,51.154610427983535
0,12,7,53.97680406796439
0,12,8,46.109345689793926
0,12,9,54.83632923200577
0,13,0,58.7048585325698
0,13,1,37.69111111093517
0,13,2,45.92874654484926
0,13,3,30.068358638286753
0,13,4,43.666485931880636
0,13,5,43.960577502940254
0,13,6,60.67853612823689
0,13,7,64.3322276649705
0,13,8,58.85980905351228
0,13,9,60.456468178728905
0,14,0,53.399241255905075
0,14,1,39.534148835061664
0,14,2,40.78060497284014
0,14,3,39.70670088578993
0,14,4,54.0329964654401
0,14,5,42.79184789490678
0,14,6,51.18182472479641
0,14,7,42.70423617025932
0,14,8,29.28897082616313
0,14,9,48.383119121125326
0,15,0,40.4630390001542
0,15,1,43.57313714919721
0,15,2,37.88860240744281
0,15,3,45.14391487880926
0,15,4,43.666121037323165
0,15,5,46.542116464038266
0,15,6,16.23589049382426
0,15,7,37.95905162300866
0,15,8,39.33471091579129
0,15,9,48.88782846104939
0,16,0,34.972549608186945
0,16,1,32.16616606317021
0,16,2,16.11068031855514
0,16,3,38.066954151316004
0,16,4,49.37185533469457
0,16,5,46.43617196339023
0,16,6,24.60910924956431
0,16,7,28.595726373285267
0,16,8,36.672387395671656
0,16,9,43.61104127321346
0,17,0,13.38097733024217
0,17,1,20.32020497087685
0,17,2,25.99114712907642
0,17,3,22.73038910762574
0,17,4,15.01255106507506
0,17,5,40.46073245545744
0,17,6,47.11381617669926
0,17,7,48.98340088565415
0,17,8,47.97048943520525
0,17,9,42.57512517190147
0,18,0,20.62353980901483
0,18,1,30.588212988167918
0,18,2,25.5847337631471
0,18,3,37.94960295031643
0,18,4,21.60772280077665
0,18,5,33.57124708366143
0,18,6,35.034883078072745
0,18,7,35.2451145580546
0,18,8,28.04779202688847
0,18,9,15.34769308548037
0,19,0,13.84052551595082
0,19,1,47.49556830190073
0,19,2,29.23059345924756
0,19,3,35.876613638800755
0,19,4,53.904813784200314
0,19,5,27.04101620744932
0,19,6,30.67483641053752
0,19,7,25.57227602426685
0,19,8,37.48273068530214
0,19,9,47.0081996099731
1,0,0,20.95395752741971
1,0,1,9.91196837975147
1,0,2,17.0853557667188
1,0,3,21.66598273846122
1,0,4,34.96745811171098
1,0,5,48.19637787171174
1,0,6,32.39964984546632
1,0,7,22.58278824323088
1,0,8,34.96714292183668
1,0,9,29.994725189275
1,1,0,11.20528102052425
1,1,1,14.934293138325089
1,1,2,29.42886127191242
1,1,3,25.661502363911147
1,1,4,48.819120958793846
1,1,5,41.309210778359116
1,1,6,23.67302502023053
1,1,7,51.402847871478016
1,1,8,53.59853949373581
1,1,9,35.06504340259017
1,2,0,42.09812267193288
1,2,1,53.04957062375575
1,2,2,27.493900647518988
1,2,3,43.87222660112654
1,2,4,21.32197079552178
1,2,5,64.10025861970547
1,2,6,53.298633255533524
1,2,7,36.48830650376005
1,2,8,37.68173085195748
1,2,9,36.2996103867124
1,3,0,27.90531742716018
1,3,1,15.67897157630546
1,3,2,39.28535093535941
1,3,3,41.21858340350636
1,3,4,49.289922147868
1,3,5,30.958204686948758
1,3,6,35.01389872754256
1,3,7,45.723906118781734
1,3,8,45.16901826675993
1,3,9,54.30339494019676
1,4,0,29.53704023750594
1,4,1,33.03765703953247
1,4,2,35.29563971083205
1,4,3,32.197112090331245
1,4,4,34.27012991665579
1,4,5,37.72399040394668
1,4,6,32.67023065316888
1,4,7,50.020640710564464
1,4,8,39.80548012307745
1,4,9,47.85969305140061
1,5,0,26.56806345055147
1,5,1,46.638863931702055
1,5,2,28.499016538724952
1,5,3,38.94866173980943
1,5,4,46.66360262994649
1,5,5,48.70958117961876
1,5,6,42.16357788972816
1,5,7,22.45067215135624
1,5,8,24.46861934269132
1,5,9,51.162683568541865
1,6,0,29.020979719831104
1,6,1,35.21305157093329
1,6,2,28.57125036570921
1,6,3,51.87970976589214
1,6,4,51.055714084935865
1,6,5,54.86956500429838
1,6,6,49.17533719939109
1,6,7,47.58330417218391
1,6,8,50.55275607009862
1,6,9,48.58486116485885
1,7,0,41.824630603272674
1,7,1,30.18501905683874
1,7,2,52.548899278480576
1,7,3,59.0227305543511
1,7,4,55.09544174064131
1,7,5,42.64406552749256
1,7,6,55.91214411982893
1,7,7,56.29418392823619
1,7,8,50.445861509533096
1,7,9,59.73246605785627
1,8,0,50.4837463789039
1,8,1,59.09061306798164
1,8,2,57.10040450584811
1,8,3,55.315406553188105
1,8,4,38.54741425258896
1,8,5,56.921885172484245
1,8,6,53.261648207827605
1,8,7,35.49991774802673
1,8,8,64.57035534019411
1,8,9,42.23535111437786
1,9,0,43.31784137862817
1,9,1,47.44533464450218
1,9,2,63.59022891547708
1,9,3,37.28740480979685
1,9,4,51.73390860388459
1,9,5,43.79352804618248
1,9,6,60.857692832474584
1,9,7,49.27865993165077
1,9,8,53.87536730903505
1,9,9,38.45322437393169
1,10,0,24.07526654901277
1,10,1,48.003843184608456
1,10,2,52.86790906926618
1,10,3,39.42285796018628
1,10,4,50.57058355852276
1,10,5,51.235066522373984
1,10,6,50.06891746646544
1,10,7,59.813967988215566
1,10,8,54.0050482078798
1,10,9,43.3868230142535
1,11,0,44.786370096022196
1,11,1,36.09301135871596
1,11,2,40.65454435955596
1,11,3,58.66574192888078
1,11,4,24.10444864859607
1,11,5,54.535526600717766
1,11,6,71.69708278557825
1,11,7,58.26169460997208
1,11,8,60.28709622699135
1,11,9,59.59030549246959
1,12,0,47.20282389675475
