Amine,Bromide,Catalyst,Solvent,Base,yield
3,2,1,2,b,74.91667
3,2,2,2,b,91.92714
3,2,3,2,b,19.529602
3,2,4,2,b,40.366356
3,2,5,2,b,58.26016
3,2,6,2,b,33.532047
3,2,7,2,b,65.16371
3,2,9,2,b,59.988747
3,2,13,2,b,75.26934
3,2,14,2,b,77.41224
3,2,16,2,b,71.33407
3,2,18,2,b,85.860985
3,2,19,2,b,81.044235
3,2,20,2,b,85.48378
3,3,1,2,b,21.827517
3,3,2,2,b,37.079834
3,3,3,2,b,1.0942172
3,3,4,2,b,7.0556574
3,3,5,2,b,9.737719
3,3,6,2,b,3.320809
3,3,7,2,b,30.312511
3,3,9,2,b,22.455076
3,3,13,2,b,16.506205
3,3,14,2,b,30.663591
3,3,16,2,b,24.06656
3,3,18,2,b,19.901491
3,3,19,2,b,21.54003
3,3,20,2,b,27.078331
3,5,1,2,b,52.211346
3,5,2,2,b,60.09716
3,5,3,2,b,14.811983
3,5,4,2,b,24.98336
3,5,5,2,b,33.811
3,5,6,2,b,23.219835
3,5,7,2,b,38.996395
3,5,9,2,b,34.8033
3,5,13,2,b,58.5738
3,5,14,2,b,51.14038
3,5,16,2,b,55.32759
3,5,18,2,b,59.15202
3,5,19,2,b,56.090313
3,5,20,2,b,66.430954
3,9,1,2,b,9.449071
3,9,2,2,b,17.291517
3,9,3,2,b,0.6920192
3,9,4,2,b,2.0233312
3,9,5,2,b,3.425577
3,9,6,2,b,2.6598191
3,9,7,2,b,21.674309
3,9,9,2,b,16.363611
3,9,13,2,b,4.088612
3,9,14,2,b,29.222416
3,9,16,2,b,18.328142
3,9,18,2,b,6.1273437
3,9,19,2,b,5.626076
3,9,20,2,b,8.120017
3,12,1,2,b,72.46751
3,12,2,2,b,78.855804
3,12,3,2,b,23.003662
3,12,4,2,b,41.68862
3,12,5,2,b,53.308395
3,12,6,2,b,33.72866
3,12,7,2,b,55.303814
3,12,9,2,b,52.803425
3,12,13,2,b,74.20722
3,12,14,2,b,71.56983
3,12,16,2,b,63.07503
3,12,18,2,b,77.76085
3,12,19,2,b,75.00741
3,12,20,2,b,86.945595
3,13,1,2,b,70.65402
3,13,2,2,b,85.50408
3,13,3,2,b,21.673683
3,13,4,2,b,39.00766
3,13,5,2,b,50.77211
