Amine,Bromide,Catalyst,Solvent,Base,yield
1,1,1,2,b,2.5491223
1,1,2,2,b,2.080713
1,1,3,2,b,-0.44791272
1,1,4,2,b,1.4721283
1,1,5,2,b,0.27904597
1,1,6,2,b,0.78460735
1,1,7,2,b,1.5772014
1,1,9,2,b,0.8258069
1,1,13,2,b,1.6622361
1,1,14,2,b,3.5109072
1,1,16,2,b,6.798144
1,1,18,2,b,1.9975805
1,1,19,2,b,3.640235
1,1,20,2,b,6.30079
1,2,1,2,b,69.70306
1,2,2,2,b,80.05218
1,2,3,2,b,16.590801
1,2,4,2,b,39.47995
1,2,5,2,b,55.593563
1,2,6,2,b,32.164204
1,2,7,2,b,53.15901
1,2,9,2,b,50.656746
1,2,13,2,b,70.49052
1,2,14,2,b,66.929855
1,2,16,2,b,62.454033
1,2,18,2,b,80.53856
1,2,19,2,b,74.84362
1,2,20,2,b,81.43019
1,3,1,2,b,15.658672
1,3,2,2,b,24.791628
1,3,3,2,b,0.3598595
1,3,4,2,b,7.2639585
1,3,5,2,b,8.294563
1,3,6,2,b,2.4636548
1,3,7,2,b,21.827404
1,3,9,2,b,16.20681
1,3,13,2,b,11.797616
1,3,14,2,b,21.727901
1,3,16,2,b,15.493672
1,3,18,2,b,15.807865
1,3,19,2,b,16.82747
1,3,20,2,b,23.994148
1,4,1,2,b,49.9478
1,4,2,2,b,59.183903
1,4,3,2,b,10.695457
1,4,4,2,b,29.511864
1,4,5,2,b,34.233906
1,4,6,2,b,17.466448
1,4,7,2,b,41.176655
1,4,9,2,b,36.192924
1,4,13,2,b,52.770218
1,4,14,2,b,49.02573
1,4,16,2,b,42.024654
1,4,18,2,b,55.798874
1,4,19,2,b,54.99258
1,4,20,2,b,64.143456
1,5,1,2,b,49.297318
1,5,2,2,b,48.847927
1,5,3,2,b,13.614829
1,5,4,2,b,26.814034
1,5,5,2,b,32.612946
1,5,6,2,b,23.28287
1,5,7,2,b,28.230005
1,5,9,2,b,26.879263
1,5,13,2,b,58.46255
1,5,14,2,b,40.769756
1,5,16,2,b,48.567745
1,5,18,2,b,55.214794
1,5,19,2,b,52.935665
1,5,20,2,b,66.57867
1,6,1,2,b,36.041256
1,6,2,2,b,49.201225
1,6,3,2,b,7.2243767
1,6,4,2,b,19.108534
1,6,5,2,b,19.682272
1,6,6,2,b,7.722503
1,6,7,2,b,39.157127
1,6,9,2,b,33.530087
1,6,13,2,b,33.04385
1,6,14,2,b,43.237637
1,6,16,2,b,33.060184
1,6,18,2,b,32.983063
1,6,19,2,b,36.028652
1,6,20,2,b,46.894505
1,7,1,2,b,67.878235
1,7,2,2,b,77.87837
1,7,3,2,b,22.046211
1,7,4,2,b,43.97895
1,7,5,2,b,48.285797
1,7,6,2,b,25.3545
1,7,7,2,b,59.743
1,7,9,2,b,51.372803
1,7,13,2,b,72.47983
1,7,14,2,b,70.61168
1,7,16,2,b,59.121338
1,7,18,2,b,63.935963
1,7,19,2,b,64.74351
1,7,20,2,b,80.74096
1,8,1,2,b,69.96405
1,8,2,2,b,84.999565
1,8,3,2,b,23.393393
1,8,4,2,b,47.49776
1,8,5,2,b,52.69377
1,8,6,2,b,28.112377
1,8,7,2,b,50.896797
1,8,9,2,b,43.350376
1,8,13,2,b,78.29073
1,8,14,2,b,60.90816
1,8,16,2,b,60.70174
1,8,18,2,b,69.21239
1,8,19,2,b,69.59073
1,8,20,2,b,85.54662
1,9,1,2,b,4.9712763
1,9,2,2,b,7.176327
1,9,3,2,b,0.5101497
1,9,4,2,b,1.4608064
1,9,5,2,b,2.3366883
1,9,6,2,b,1.732656
1,9,7,2,b,15.339272
1,9,9,2,b,10.058545
