Amine,Bromide,Catalyst,Solvent,Base,yield
3,2,1,1,a,51.936035
3,2,1,1,b,63.590748
3,2,1,1,c,7.936288
3,2,1,2,a,63.044823
3,2,1,2,b,74.91667
3,2,1,2,c,12.519246
3,2,1,3,a,50.66738
3,2,1,3,b,62.71396
3,2,1,3,c,8.549684
3,2,2,1,a,76.40431
3,2,2,1,b,75.56111
3,2,2,1,c,26.797508
3,2,2,2,a,92.59384
3,2,2,2,b,91.92714
3,2,2,2,c,35.96092
3,2,2,3,a,76.9472
3,2,2,3,b,76.68144
3,2,2,3,c,28.076286
3,2,3,1,a,24.59273
3,2,3,1,b,14.6712
3,2,3,1,c,1.2079087
3,2,3,2,a,27.882935
3,2,3,2,b,19.529602
3,2,3,2,c,1.4949448
3,2,3,3,a,21.970549
3,2,3,3,b,13.268072
3,2,3,3,c,0.90002584
3,2,4,1,a,48.367825
3,2,4,1,b,30.550356
3,2,4,1,c,5.1172357
3,2,4,2,a,57.30821
3,2,4,2,b,40.366356
3,2,4,2,c,7.5282764
3,2,4,3,a,47.30162
3,2,4,3,b,29.206213
3,2,4,3,c,4.668855
3,2,5,1,a,51.19426
3,2,5,1,b,47.78299
3,2,5,1,c,10.285027
3,2,5,2,a,59.563766
3,2,5,2,b,58.26016
3,2,5,2,c,13.75174
3,2,5,3,a,49.821297
3,2,5,3,b,46.557888
3,2,5,3,c,10.979124
3,2,6,1,a,31.18402
3,2,6,1,b,27.64053
3,2,6,1,c,3.1718776
3,2,6,2,a,36.72263
3,2,6,2,b,33.532047
3,2,6,2,c,3.9962115
3,2,6,3,a,28.613058
3,2,6,3,b,25.013586
3,2,6,3,c,2.744485
3,2,7,1,a,65.58795
3,2,7,1,b,45.49378
3,2,7,1,c,39.515865
3,2,7,2,a,84.76869
3,2,7,2,b,65.16371
3,2,7,2,c,55.32075
3,2,7,3,a,66.47507
3,2,7,3,b,46.79929
3,2,7,3,c,42.567852
3,2,8,1,a,69.55109
3,2,8,1,b,51.40124
3,2,8,1,c,38.756893
3,2,8,2,a,89.326065
3,2,8,2,b,72.455475
3,2,8,2,c,53.80455
3,2,8,3,a,68.65304
3,2,8,3,b,50.89882
3,2,8,3,c,39.854374
3,2,9,1,a,61.733498
3,2,9,1,b,41.42271
3,2,9,1,c,37.43682
3,2,9,2,a,81.2398
3,2,9,2,b,59.988747
3,2,9,2,c,50.829906
3,2,9,3,a,61.91199
3,2,9,3,b,42.385654
3,2,9,3,c,39.564865
3,2,10,1,a,55.436695
3,2,10,1,b,65.655685
3,2,10,1,c,13.98832
3,2,10,2,a,68.98488
3,2,10,2,b,80.236015
3,2,10,2,c,21.702368
3,2,10,3,a,56.00783
3,2,10,3,b,67.23945
3,2,10,3,c,15.1312065
3,2,11,1,a,65.58708
3,2,11,1,b,66.12528
3,2,11,1,c,9.8390255
3,2,11,2,a,75.51229
3,2,11,2,b,78.0171
3,2,11,2,c,13.084505
3,2,11,3,a,64.699684
3,2,11,3,b,65.42943
3,2,11,3,c,9.267524
3,2,12,1,a,62.696148
3,2,12,1,b,66.41218
3,2,12,1,c,8.407945
3,2,12,2,a,73.4248
3,2,12,2,b,79.18925
3,2,12,2,c,12.866914
3,2,12,3,a,61.771294
3,2,12,3,b,64.94715
3,2,12,3,c,8.341528
3,2,13,1,a,44.566845
3,2,13,1,b,67.501114
3,2,13,1,c,5.7774415
3,2,13,2,a,51.896366
3,2,13,2,b,75.26934
3,2,13,2,c,8.438815
3,2,13,3,a,42.676174
3,2,13,3,b,65.83652
3,2,13,3,c,5.5395107
3,2,14,1,a,66.25701
3,2,14,1,b,57.021904
3,2,14,1,c,28.023926
3,2,14,2,a,86.4107
3,2,14,2,b,77.41224
3,2,14,2,c,41.419724
3,2,14,3,a,65.28318
3,2,14,3,b,57.038105
3,2,14,3,c,29.025328
3,2,16,1,a,72.37344
3,2,16,1,b,60.58361
3,2,16,1,c,18.230612
3,2,16,2,a,81.64126
3,2,16,2,b,71.33407
3,2,16,2,c,22.80454
3,2,16,3,a,69.736115
3,2,16,3,b,59.939034
